the_geom,OBJECTID,LOCATION,GISPROPNUM,COUNCILDIS,BOROUGH,NAME,POOLTYPE,SHAPE_STAr,SHAPE_STLe
"MULTIPOLYGON (((-73.98086898806906 40.71994234148102, -73.98099356285502 40.71969606729029, -73.98099463397571 40.71969609178091, -73.9809967738456 40.71969615607033, -73.9809989125263 40.71969624017072, -73.9810010500183 40.71969634228107, -73.98100318632109 40.719696464202386, -73.98100532025158 40.71969660413349, -73.98100745180908 40.719696764775875, -73.98100958099457 40.71969694252751, -73.98101170662402 40.71969713918923, -73.98101276825312 40.71969724472396, -73.98101489032362 40.71969747020135, -73.98101700765456 40.719697714588655, -73.98101912142936 40.71969797788599, -73.98102123046479 40.719698259192754, -73.98102228498047 40.71969840705016, -73.98102438690637 40.71969871717197, -73.98102648527667 40.71969904440286, -73.98102753150073 40.71969921567213, -73.98102962276124 40.71969957261858, -73.9810317069155 40.719699946673536, -73.98103274721538 40.71970014045451, -73.98103482307677 40.71970054242386, -73.98103689064779 40.71970096330249, -73.98103895466305 40.71970140219068, -73.9810399831181 40.719701628388, -73.98104203528979 40.719702095190044, -73.98104408035525 40.719702579100506, -73.98104611831393 40.71970308192048, -73.98104814679928 40.719703601848536, -73.98105016936142 40.71970414068631, -73.98105218245023 40.71970469663214, -73.98105418724872 40.71970527148729, -73.98105618139027 40.719705863450365, -73.98105816842559 40.719706472521914, -73.98105915898256 40.71970678336074, -73.98106014598731 40.71970709960207, -73.9810621140757 40.71970774379031, -73.98106309279167 40.71970807353785, -73.98106504548626 40.7197087438383, -73.98106698634044 40.719709431246464, -73.9810689177212 40.719710135762675, -73.9810708372613 40.719710858287115, -73.98107179347883 40.71971122585234, -73.9810736964421 40.71971197268777, -73.98107558874793 40.71971273843214, -73.98107746803049 40.7197135185825, -73.98107933665618 40.719714315840754, -73.98108119225803 40.719715129306024, -73.98108211532279 40.71971554279166, -73.98108395198048 40.719716381468025, -73.9810857756144 40.71971723635144, -73.98108758504068 40.71971810834214, -73.98108938144377 40.71971899473884, -73.98109116482271 40.71971989824307, -73.98109205118479 40.71972035494709, -73.98109381325322 40.71972128096049, -73.98109556111436 40.719722223180746, -73.98109729476862 40.71972317980676, -73.98109901421556 40.71972415263962, -73.98109986742789 40.71972464445804, -73.9811015631972 40.71972563979969, -73.98110324357577 40.71972665044747, -73.98110490856399 40.719727675500835, -73.98110573454694 40.719728193429546, -73.98110737704114 40.71972924099193, -73.98110900177795 40.71973030205907, -73.98111060994087 40.71973137753161, -73.98111220152977 40.719732467409514, -73.981113777728 40.71973357259358, -73.98111533616924 40.71973469038184, -73.98111687685291 40.719735822575345, -73.9811176412758 40.71973639272342, -73.9811191559155 40.71973754472379, -73.98112065279787 40.719738710228896, -73.98112213310655 40.71973988923896, -73.98112359329107 40.71974108085278, -73.98112503571855 40.71974228507083, -73.98112646038875 40.719743502793584, -73.98112786611867 40.7197447322199, -73.98112925172462 40.71974597334946, -73.98112993920003 40.71974659931642, -73.98113062075683 40.71974722798396, -73.98113196848188 40.719748493421086, -73.98113329726607 40.719749772362675, -73.98113460592657 40.71975106210714, -73.98113589446321 40.71975236355488, -73.98113716405969 40.71975367580566, -73.98113841353207 40.719755000660214, -73.98113964169771 40.71975633451639, -73.98114085092273 40.71975768097658, -73.98114144724946 40.719758357357094, -73.98114262333036 40.719759719120496, -73.98114378047141 40.71976109078641, -73.98114491512165 40.71976247325473, -73.98114602846518 40.71976386472463, -73.98114657744294 40.719764563610134, -73.98114712050177 40.71976526609669, -73.98114819241498 40.71976667737099, -73.98114924065399 40.719768098547064, -73.98115026876992 40.71976952872491, -73.98115077395038 40.7197702465139, -73.9811517689226 40.71977169019394, -73.98115274140481 40.719773141974876, -73.98115321817663 40.71977387056535, -73.98115415869879 40.719775335848695, -73.98115507318039 40.71977680833185, -73.98115596753888 40.71977828981681, -73.98115683822402 40.719779778501966, -73.98115768641911 40.719781275288014, -73.98115851212438 40.71978277927446, -73.98115931415629 40.71978429046112, -73.98116009133156 40.71978580794724, -73.98116084838415 40.71978733263413, -73.981161217441 40.71978809812782, -73.98116193780027 40.719789632714345, -73.98116263567022 40.71979117270024, -73.9811633074994 40.71979272078644, -73.98116395683958 40.71979427337152, -73.98116458369019 40.71979583225649, -73.98116518450102 40.719797395639695, -73.98116547780454 40.71979817913119, -73.98116576282263 40.719798964422324, -73.98116631747129 40.719800538604154, -73.9811668472636 40.719802118184916, -73.98116735219993 40.719803701363674, -73.98116759579081 40.71980449475265, -73.98116806403453 40.71980608512948, -73.9811685097892 40.71980768000518, -73.9811689295046 40.71980927757816, -73.98116932554768 40.719810878749286, -73.9811696967348 40.719812483518396, -73.98117004306599 40.71981409188547, -73.9811703657253 40.71981570204973, -73.98117066234484 40.71981731671221, -73.98117093529277 40.71981893227139, -73.9811711822012 40.71982055142832, -73.98117140662158 40.71982217148205, -73.98117150817902 40.71982298375852, -73.98117169354063 40.7198246074079, -73.98117185523061 40.71982623195397, -73.98117199088155 40.71982785829676, -73.98117210286092 40.71982948553621, -73.9811721487901 40.71983029960456, -73.98117222171119 40.719831928638655, -73.98117226977732 40.71983355766867, -73.98117229535539 40.71983518759553, -73.98117229371114 40.7198368184184, -73.98117228401286 40.71983763157714, -73.98117226721267 40.71983844653577, -73.98117221704256 40.719840075549705, -73.98117214083395 40.71984170455937, -73.98117203858708 40.71984333266431, -73.9811719138529 40.71984495896454, -73.98117184142548 40.71984577211299, -73.98117167881783 40.71984739570552, -73.98117149135494 40.719849020194474, -73.98117127785432 40.71985064197764, -73.98117104068305 40.71985226105541, -73.98117077747379 40.71985387832785, -73.98117049059358 40.71985549379545, -73.98117017885944 40.719857105656956, -73.98116984227087 40.71985871571335, -73.98116966450878 40.719859518038476, -73.98116929123105 40.7198611226858, -73.9811688942829 40.719862723727225, -73.98116847129698 40.71986432206286, -73.98116802464095 40.71986591589207, -73.9811675531312 40.719867505214665, -73.98116705795108 40.71986909093136, -73.98116653791745 40.7198706712409, -73.98116599421343 40.71987224794455, -73.98116542683955 40.71987381924126, -73.98116483342865 40.719875385130635, -73.98116421871467 40.719876946513985, -73.98116390129815 40.71987772450248, -73.98116324989604 40.71987927687473, -73.98116257482428 40.71988082293954, -73.98116187489885 40.71988236449771, -73.98116151724389 40.719883131673534, -73.9811611524878 40.719883897947646, -73.98116040759068 40.719885425090276, -73.98115963784034 40.71988694592531, -73.98115884442042 40.71988846045288, -73.98115802969865 40.71988996597185, -73.98115719130678 40.7198914669844, -73.98115632924628 40.71989295808745, -73.98115544469965 40.71989444288327, -73.9811545376677 40.71989591867029, -73.98115407586737 40.71989665431117, -73.98115313451517 40.71989811838591, -73.98115217186118 40.71989957345211, -73.98115118672166 40.71990102041001, -73.9811501790968 40.71990245835909, -73.98114915016988 40.71990388820015, -73.98114809875793 40.719905308131835, -73.98114702604444 40.71990671815449, -73.98114593084566 40.719908119168295, -73.98114537555402 40.71990881607191, -73.98114424958692 40.71991020087151, -73.98114310231756 40.719911578463545, -73.98114193374717 40.71991294434543, -73.9811407450591 40.7199142994179, -73.98113953506953 40.71991564458126, -73.98113892179121 40.71991631175852, -73.98113768103359 40.71991763980712, -73.98113642134157 40.71991895794702, -73.98113513916522 40.71992026347609, -73.98113383805479 40.7199215581959, -73.98113251801048 40.71992284120597, -73.9811311778487 40.719924112506135, -73.98112981875309 40.71992537209651, -73.9811284395403 40.719926619076446, -73.98112774342567 40.71992723761254, -73.98112633581216 40.71992846657759, -73.98112491044866 40.7199296829326, -73.98112346496823 40.719930885776655, -73.98112200292134 40.71993207601082, -73.98112052194082 40.71993325363473, -73.9811190232105 40.71993441774807, -73.98111826792888 40.719934994850945, -73.9811175067304 40.71993556835081, -73.98111597368411 40.719936705443196, -73.98111442170446 40.7199378290248, -73.98111364038981 40.71993838631218, -73.98111206356123 40.71993948827745, -73.98111046898258 40.719940577632606, -73.98110885902153 40.719941652577084, -73.98110723131099 40.71994271311048, -73.9811055905854 40.71994375833309, -73.98110393092678 40.719944789144364, -73.98110225588549 40.71994580644545, -73.98110056782944 40.71994680753518, -73.98109886320775 40.719947793313516, -73.98109714320361 40.71994876468117, -73.98109540781739 40.71994972073756, -73.98109365823255 40.71995066148295, -73.98109277870753 40.719951126001554, -73.981091007825 40.719952043330174, -73.98108922511135 40.719952944447634, -73.98108742583196 40.71995383025367, -73.98108561472142 40.71995469984853, -73.98108378941261 40.71995555323189, -73.98108287320899 40.719955974519934, -73.98108102897012 40.71995680268588, -73.98107917171629 40.71995761554094, -73.98107730381504 40.71995841128455, -73.98107542289915 40.71995919081688, -73.98107352896851 40.719959954137785, -73.98107162557437 40.719960699446936, -73.98106970916555 40.71996142854476, -73.98106778329293 40.71996214053129, -73.98106584677276 40.71996283630688, -73.98106389842218 40.7199635131698, -73.98106292069774 40.71996384619755, -73.9810619394238 40.71996417472224, -73.98105997214601 40.71996481646207, -73.98105799422063 40.71996544199094, -73.9810560068313 40.71996605130904, -73.98105401116248 40.71996664081451, -73.98105300859547 40.719966929713195, -73.98105099991477 40.719967493101684, -73.98104898058706 40.71996803847824, -73.98104695534629 40.71996856674408, -73.98104492064232 40.719969076097634, -73.9810428788417 40.71996956834029, -73.98104082876148 40.71997004167082, -73.98103877276847 40.71997049699017, -73.98103670849562 40.71997093429793, -73.98103463949354 40.71997135359465, -73.98103256339537 40.71997175397951, -73.98103048020089 40.71997213635292, -73.98102839346107 40.71997249981501, -73.98102630080844 40.71997284526589, -73.98102525093353 40.719973010786696, -73.98102315118742 40.719973328320535, -73.98102104552878 40.719973626942675, -73.98101893514131 40.719973906653316, -73.98101682120816 40.7199741683531, -73.98101576305996 40.719974292448995, -73.98101364321742 40.719974524430945, -73.98101151864547 40.71997473930241, -73.98100939289561 40.7199749343624, -73.98100832883898 40.719975025138346, -73.98100726360013 40.71997511141157, -73.98100513194315 40.71997526864909, -73.98100406434118 40.71997534051373, -73.98100299792411 40.71997540787602, -73.98100086272714 40.71997552729149, -73.98099872398464 40.71997562869614, -73.98099658524775 40.71997571028954, -73.9809944441488 40.71997577387228, -73.98099337419332 40.71997579800942, -73.98099123310264 40.719975832775816, -73.98098909201737 40.71997584863148, -73.9809869485703 40.71997584557599, -73.98098480749601 40.719975822709664, -73.98098373755262 40.719975804522754, -73.98098266642693 40.719975781833064, -73.98098052536324 40.71997572204577, -73.98097945660902 40.71997568404779, -73.98097731792068 40.7199755954445, -73.98097518042134 40.71997548793065, -73.9809730452945 40.719975361506435, -73.98097091135695 40.719975215271205, -73.98096878097522 40.719975051026296, -73.98096665296606 40.71997486787102, -73.98096452732942 40.71997466580542, -73.98096240524872 40.71997444573017, -73.98096028672435 40.719974205844245, -73.98095817175619 40.71997394704817, -73.9809560603441 40.719973669341954, -73.98095500819055 40.71997352418582, -73.98095290388765 40.71997321946543, -73.98095080550831 40.71997289493475, -73.98094871068456 40.719972553294966, -73.98094662178462 40.71997219094433, -73.980944539991 40.71997181148521, -73.98094246175332 40.71997141401645, -73.98094142500351 40.71997120852858, -73.98094039062244 40.719970997638065, -73.98093935860956 40.719970783145904, -73.9809383277818 40.71997056325089, -73.98093729695506 40.71997033975376, -73.98093626849725 40.719970109953515, -73.98093421868623 40.71996963954797, -73.98093217479848 40.71996915023269, -73.98093014038453 40.71996864290878, -73.98092811189358 40.7199681175756, -73.98092609287616 40.71996757513423, -73.98092508691997 40.71996729761057, -73.98092307974623 40.71996672725533, -73.98092108204607 40.71996613979197, -73.98091909381967 40.71996553431992, -73.98091711388342 40.71996491083903, -73.98091514578755 40.719964271150886, -73.98091318479862 40.71996361255319, -73.98091123565004 40.719962937748214, -73.98090929715856 40.71996224583532, -73.98090833146559 40.71996189267539, -73.98090640836807 40.719961174650216, -73.98090449711121 40.71996043951726, -73.98090259651141 40.71995968727638, -73.98090070775206 40.719958918828254, -73.98089883083328 40.719958133272385, -73.98089696812217 40.71995733150966, -73.9808951148842 40.71995651353931, -73.98089327467054 40.719955678461396, -73.98089144866437 40.71995482717659, -73.9808896344984 40.719953960585144, -73.98088783454021 40.719953076886284, -73.98088604878927 40.719952177881126, -73.9808842760621 40.719951263569385, -73.98088339561832 40.71995079966068, -73.98088164301863 40.71994986193903, -73.98087990699364 40.719948908010885, -73.98087818399237 40.71994793877627, -73.9808773295947 40.719947448757075, -73.98087562908786 40.719946457013386, -73.98087394633869 40.719945450864465, -73.98087227661327 40.71994442940901, -73.98087062346228 40.71994339264762, -73.98086898806906 40.71994234148102)))",237,Outdoor,M033,2,M,Hamilton Fish,Wading,5779.09837341,290.880630589
"MULTIPOLYGON (((-74.08163473441772 40.595248354135435, -74.08150344312473 40.595297119700206, -74.0814741900958 40.595245687257155, -74.08160730938963 40.59519831083502, -74.08163473441772 40.595248354135435)))",238,Outdoor,R063,50,R,PS 46 Playground Pool,Mini,816.526229858,121.542655124
"MULTIPOLYGON (((-74.07933506084417 40.62288650671552, -74.0792537601362 40.62291135052024, -74.07921459595687 40.62280478919853, -74.07928288617154 40.622782432626984, -74.07933506084417 40.62288650671552)))",239,Outdoor,R061,49,R,PS 14 Playground Pool,Mini,905.69708252,125.855521621
"MULTIPOLYGON (((-74.10069048361468 40.5858615006585, -74.10058511780214 40.585935454832075, -74.1005331018403 40.58589648424983, -74.1006419844412 40.58581807665329, -74.10069048361468 40.5858615006585)))",240,Outdoor,R067,50,R,General Douglas Pool,Mini,834.02432251,122.415721348
"MULTIPOLYGON (((-74.16508363763572 40.6308108673757, -74.16500718904759 40.630809556092856, -74.16501250473725 40.63069732553351, -74.16508522872586 40.63070006228221, -74.16508363763572 40.6308108673757)))",241,Outdoor,R068,49,R,Mariner's Harbor Playground Pool,Mini,841.840591431,122.722530315
"MULTIPOLYGON (((-74.11944806955731 40.637234968357866, -74.11923242026316 40.63725070992344, -74.11919730549157 40.637045369317136, -74.11941535024698 40.63702962622923, -74.11944806955731 40.637234968357866)))",242,Outdoor,R109,49,R,West Brighton Pool,Intermediate,4556.45521545,271.717857572
"MULTIPOLYGON (((-74.11905146297984 40.63723446653642, -74.11896041596245 40.63724368843169, -74.11894951448997 40.637177979786586, -74.11903577198854 40.637169675084415, -74.11905146297984 40.63723446653642)))",243,Outdoor,R109,49,R,West Brighton Pool,Wading,596.694198608,97.7557707063
"MULTIPOLYGON (((-73.91080333744223 40.74754352813192, -73.91066046597098 40.7475277873065, -73.91067081647209 40.74747345965715, -73.91081368546119 40.74748920046805, -73.91080333744223 40.74754352813192)))",244,Outdoor,Q031,26,Q,Windmuller Pool,Mini,800.001998901,120.000289618
"MULTIPOLYGON (((-73.72072214540002 40.749814529453076, -73.72057874946924 40.749838644952085, -73.72056436146931 40.7497830107239, -73.72070774796423 40.7497611185806, -73.72072214540002 40.749814529453076)))",245,Outdoor,Q327,23,Q,PS 186 Playground Pool,Mini,822.630432129,121.734102369
"MULTIPOLYGON (((-73.93233424445818 40.69171475493008, -73.93218162794483 40.69173149838946, -73.93217431445909 40.691674259254796, -73.9323225096292 40.691655268225354, -73.93233424445818 40.69171475493008)))",249,Outdoor,B269,36,B,JHS 57/HS 26 Pool,Mini,904.0831604,127.303423209
"MULTIPOLYGON (((-73.91137099992315 40.612462959919625, -73.91132872898572 40.61250773187088, -73.91121273976343 40.61243871100837, -73.91125651583064 40.61239508752603, -73.91137099992315 40.612462959919625)))",250,Outdoor,B329,46,B,Lindower Park Pool,Mini,813.071289063,121.233005381
"MULTIPOLYGON (((-73.92027542451329 40.63653137767454, -73.92021485875141 40.636561122141075, -73.92013677259261 40.63646884215571, -73.92019733830233 40.63643910043158, -73.92027542451329 40.63653137767454)))",251,Outdoor,B236,45,B,Glenwood Houses Pool,Mini,799.982635498,119.998768724
"MULTIPOLYGON (((-73.92378185491351 40.632802874693795, -73.92370844216379 40.63280449556987, -73.92370199371415 40.632694306417, -73.9237775978124 40.632692687898285, -73.92378185491351 40.632802874693795)))",252,Outdoor,B248,46,B,David Fox/PS 251 Pool,Mini,831.08770752,121.724174757
"MULTIPOLYGON (((-73.98572819111946 40.68028134586161, -73.9856519956372 40.680248009250874, -73.98568767795165 40.680187532450866, -73.98576387364646 40.680219633532616, -73.98572819111946 40.68028134586161)))",253,Outdoor,B145,33,B,Douglas and DeGraw Pool,Wading,588.384033203,97.248938072
"MULTIPOLYGON (((-73.98596160612252 40.680551690060675, -73.9857703042539 40.68047760736544, -73.98589194512724 40.68029123929531, -73.98608324397294 40.68036655639475, -73.98596160612252 40.680551690060675)))",254,Outdoor,B145,33,B,Douglas and DeGraw Pool,Intermediate,4508.96496582,270.501039939
"MULTIPOLYGON (((-73.84536707865352 40.884283183107705, -73.84532380503076 40.8843274011962, -73.8452119641725 40.884254638646986, -73.84525990018027 40.884212197209216, -73.84536707865352 40.884283183107705)))",255,Outdoor,X165,12,X,Edenwald Houses Pool,Mini,808.263504028,120.5025193
"MULTIPOLYGON (((-73.87781219425945 40.83425226049112, -73.8776361865155 40.834163227447895, -73.877705376488 40.834092649798656, -73.87787574738039 40.834180606080196, -73.87781219425945 40.83425226049112)))",256,Outdoor,X159,18,X,Bronx River Playground Pool,Mini,1833.92869568,179.060947686
"MULTIPOLYGON (((-73.90734520726387 40.83904326625315, -73.90726476174993 40.839017732933314, -73.90730509509632 40.83895154933765, -73.90738218623594 40.83897707903571, -73.90734520726387 40.83904326625315)))",257,Outdoor,X008,14,X,Claremont Pool,Wading,625.067932129,100.162402365
"MULTIPOLYGON (((-73.89850608445637 40.8395521584582, -73.89805766235733 40.8403506982501, -73.89803726135024 40.84035663608332, -73.89767854146828 40.84024171707398, -73.89767180711026 40.84022058821638, -73.89811824863115 40.839424030141245, -73.89813746107824 40.83941589854063, -73.89850226470615 40.83953390748847, -73.89850608445637 40.8395521584582)))",258,Outdoor,X010,15,X,Crotona Pool,Olympic,38115.6339722,875.931009754
"MULTIPOLYGON (((-73.96748780474412 40.796947056354746, -73.9674236438843 40.796922664415185, -73.96749517962533 40.79681153773662, -73.96756402983885 40.7968394906317, -73.96748780474412 40.796947056354746)))",259,Outdoor,M220,8,M,Frederick Douglass Pool,Mini,928.642211914,131.060486016
"MULTIPOLYGON (((-74.0023518271916 40.725635493621205, -74.00223008236986 40.72558187883491, -74.00227231879069 40.72553216450682, -74.00239335451505 40.725585177723524, -74.0023518271916 40.725635493621205)))",260,Outdoor,M069,3,M,Vesuvio Pool,Mini,838.588775635,120.913215275
"MULTIPOLYGON (((-73.9371668200064 40.81215772998089, -73.9371009925037 40.81212981828198, -73.93717352547496 40.812030147526286, -73.937238881034 40.812059488017105, -73.9371668200064 40.81215772998089)))",261,Outdoor,M193,9,M,Abe Lincoln Pool,Mini,863.333648682,124.352009565
"MULTIPOLYGON (((-74.00581296245663 40.72962910938244, -74.00563745686269 40.7296113159552, -74.00565616974332 40.729516967855965, -74.00582699339716 40.729534759690964, -74.00581296245663 40.72962910938244)))",262,Outdoor,M038,3,M,Tony Dapolito Pool,Diving,1679.16967773,166.216444631
"MULTIPOLYGON (((-74.00560254262498 40.72955796612966, -74.00556657177096 40.72973623254522, -74.00531819425993 40.72971354426541, -74.00532521008596 40.72965145207646, -74.00535593026646 40.729662132483966, -74.00535566605022 40.72965912839977, -74.0053561155578 40.72965521026624, -74.00535745406602 40.729651410057876, -74.00535963896935 40.729647844842916, -74.00536260517053 40.72964462178475, -74.00536626034537 40.72964183994353, -74.00537049678017 40.72963958397217, -74.00537518308492 40.72963792141471, -74.0053801772146 40.72963690270633, -74.00538137870234 40.729636761270335, -74.00539026502467 40.729636308799385, -74.00540419895442 40.72963742657792, -74.00544983634573 40.72964410169785, -74.00545062117644 40.72964421152273, -74.00545959399844 40.72964480813482, -74.00546856435517 40.72964421067199, -74.00547726235413 40.72964243715725, -74.00548542402466 40.72963954163379, -74.00549280078762 40.72963561236336, -74.00549916774143 40.7296307673235, -74.00550433313204 40.729625156007955, -74.00550512733373 40.729624069956714, -74.00551740839265 40.72954929203945, -74.00560254262498 40.72955796612966)))",263,Indoor,M103,3,M,Tony Dapolito Pool,Intermediate,2881.46697998,268.648651473
"MULTIPOLYGON (((-73.97564646883559 40.735871171967794, -73.97558391718472 40.7359561702606, -73.9755587328874 40.735959786760596, -73.97526935483786 40.735835353146584, -73.9752512230038 40.735739568538946, -73.97527002637182 40.735713364198844, -73.97530174191161 40.735709709540444, -73.97563833155192 40.73585353920446, -73.97564646883559 40.735871171967794)))",264,Outdoor,M164,4,M,Asser Levy Pool,Intermediate,4943.59716797,303.53784643
"MULTIPOLYGON (((-73.93342483137796 40.842814226227176, -73.9328998167379 40.842590138672016, -73.93330751808688 40.842035186886335, -73.93383365295847 40.84226012781947, -73.93342483137796 40.842814226227176)))",265,Outdoor,M037,10,M,Highbridge Pool,Olympic,38620.0338745,796.634644528
"MULTIPOLYGON (((-73.94292100827147 40.82387604258984, -73.94317447106665 40.82399275136902, -73.94275903608558 40.82454852281652, -73.9427574497336 40.82455006949687, -73.94275553499824 40.82455138433193, -73.942753349644 40.8245524276552, -73.94275095959954 40.824553167991304, -73.94274843696871 40.82455358300545, -73.94274585785534 40.824553660177315, -73.94274330006716 40.82455339717874, -73.94274084076864 40.82455280194399, -73.94251102221351 40.82445547908045, -73.94250816489318 40.824454163586175, -73.94250562826942 40.82445251170459, -73.94250348027094 40.824450567671725, -73.94250177841941 40.82444838354726, -73.94250056828898 40.82444601782025, -73.94249988228592 40.824443533842995, -73.94249973878075 40.824440998134364, -73.94250014161642 40.824438478598616, -73.94292100827147 40.82387604258984)))",266,Outdoor,M014,7,M,Jackie Robinson Pool,Olympic,19532.3111725,636.526797629
"MULTIPOLYGON (((-73.97822154908356 40.69762832494216, -73.97813589578675 40.697631102092004, -73.97813469315318 40.697567774230194, -73.97822157007431 40.69756406618297, -73.97822154908356 40.69762832494216)))",267,Outdoor,B021,35,B,Commodore Barry Pool,Wading,556.149368286,94.3864342325
"MULTIPOLYGON (((-73.97817496579938 40.69789373133343, -73.97789965575097 40.69788529772902, -73.97791072401486 40.697718599705844, -73.978182360187 40.69772889574786, -73.97817496579938 40.69789373133343)))",268,Outdoor,B021,35,B,Commodore Barry Pool,Intermediate,4588.47360229,272.717857479
"MULTIPOLYGON (((-73.98028320426411 40.71950713073769, -73.98030678218096 40.71949859343761, -73.98082651761126 40.71965157422056, -73.98083773857424 40.719669513343085, -73.98072316260485 40.719897551917185, -73.98070183244718 40.7199052359956, -73.98017985060552 40.71975054600153, -73.98016862836815 40.719733461398626, -73.98028320426411 40.71950713073769)))",269,Outdoor,M033,2,M,Hamilton Fish Pool,Olympic,16183.0787811,515.04284271
"MULTIPOLYGON (((-73.91305397810856 40.663344055222886, -73.91246157530675 40.66343184936129, -73.91225673623103 40.6625394533222, -73.91284269357513 40.66245165445142, -73.91305397810856 40.663344055222886)))",270,Outdoor,B008,41,B,Betsy Head Pool,Olympic,54991.1750336,993.541855711
"MULTIPOLYGON (((-73.98102961490892 40.726850108480775, -73.98095792930658 40.72694930841509, -73.9808907035875 40.72692079977341, -73.98096335292091 40.726821125471716, -73.98102961490892 40.726850108480775)))",271,Outdoor,M088,2,M,Tompkins Square Pool,Mini,879.681167603,125.283865377
"MULTIPOLYGON (((-73.94899032897814 40.76971604566275, -73.94886422850777 40.76966484296744, -73.94897179096671 40.76952139541653, -73.94909789124823 40.76957259799519, -73.94899032897814 40.76971604566275)))",272,Outdoor,M045,5,M,John Jay Pool,Diving,2381.26835632,199.513733207
"MULTIPOLYGON (((-73.9488081795674 40.769647059248406, -73.94865499751144 40.76957808455709, -73.94891688479667 40.76923225000871, -73.94907193829934 40.76930051468553, -73.9488081795674 40.769647059248406)))",273,Outdoor,M045,5,M,John Jay Pool,Intermediate,7204.37213135,390.204512798
"MULTIPOLYGON (((-74.00452186829267 40.672689859219645, -74.00436734920872 40.67301741765907, -74.00324378196169 40.67271852432704, -74.00340248159348 40.672381425402705, -74.00452186829267 40.672689859219645)))",274,Outdoor,B126,38,B,Red Hook Pool,Olympic,42472.1464996,917.635497615
"MULTIPOLYGON (((-73.8962218913293 40.890107669151206, -73.89565842825452 40.88995085485989, -73.89578533899397 40.88967126329242, -73.89635241317913 40.889828080216844, -73.8962218913293 40.890107669151206)))",275,Outdoor,X092,11,X,Van Cortlandt Pool,Intermediate,17954.17099,548.625017877
"MULTIPOLYGON (((-73.9224621850225 40.77935428527878, -73.92201384733353 40.77904180285627, -73.92284356166994 40.77838909635233, -73.92328430029133 40.77869578929339, -73.9224621850225 40.77935428527878)))",277,Outdoor,Q004,22,Q,Astoria Pool,Olympic,55207.4820099,995.389099096
"MULTIPOLYGON (((-73.95492384990634 40.79629779173523, -73.954887229369 40.79632624220744, -73.95472328371967 40.79620436551429, -73.95475990425945 40.79617591599416, -73.95492384990634 40.79629779173523)))",278,Outdoor,M010,8,M,Lasker Pool,Wading,920.749053955,155.999955302
"MULTIPOLYGON (((-73.90279631072416 40.65635922577549, -73.9026902011852 40.656375043694375, -73.90263825447423 40.65617302268013, -73.90274438382139 40.656157194019535, -73.90279631072416 40.65635922577549)))",279,Indoor,B270,42,B,Brownsville Pool,Intermediate,2250.27983093,210.008957272
"MULTIPOLYGON (((-73.93499996773616 40.674019455255625, -73.93473113932302 40.67399745116079, -73.93474732275217 40.67388283105235, -73.93501615189231 40.67390483420982, -73.93499996773616 40.674019455255625)))",280,Indoor,B245,36,B,St John's Pool,Intermediate,3150.00556946,234.000021671
"MULTIPOLYGON (((-73.95002118538844 40.6912411597966, -73.94920365967738 40.69134132704347, -73.94914921929934 40.69106745692385, -73.94996901770067 40.690970756224836, -73.95002118538844 40.6912411597966)))",281,Outdoor,B351,36,B,Kosciuszko Pool,Olympic,23039.5063629,660.177977218
"MULTIPOLYGON (((-73.9436591305556 40.80529928813858, -73.94307170419023 40.80535232977946, -73.94303432080264 40.80514707597496, -73.94362514344314 40.80509214243601, -73.9436591305556 40.80529928813858)))",282,Outdoor,M058,9,M,Marcus Garvey Pool,Intermediate,12446.9771576,480.103039335
"MULTIPOLYGON (((-74.2355364747414 40.50554019139536, -74.23546186512363 40.5055534958804, -74.23544730781644 40.50549653914185, -74.23551905353955 40.50548543424113, -74.2355364747414 40.50554019139536)))",283,Outdoor,R110,51,R,Tottenville Pool,Wading,433.891593933,83.3355815247
"MULTIPOLYGON (((-74.23533022023291 40.50569184818083, -74.23511802580494 40.505732802580646, -74.23505127553116 40.505531299256944, -74.23525754533169 40.50548990775861, -74.23533022023291 40.50569184818083)))",284,Outdoor,R110,51,R,Tottenville Pool,Intermediate,4566.93948364,272.196198439
"MULTIPOLYGON (((-73.93639914071707 40.79333348766825, -73.93622951517891 40.79354736182824, -73.93546741392112 40.79324018671832, -73.93564702170788 40.79301117102484, -73.93639914071707 40.79333348766825)))",285,Outdoor,M047,8,M,Thomas Jefferson Pool,Olympic,22458.0759125,666.061545855
"MULTIPOLYGON (((-73.93649848089044 40.79366869605536, -73.93632912646433 40.7935985419023, -73.93651619742259 40.793378996851416, -73.93667310568001 40.79343778138149, -73.93649848089044 40.79366869605536)))",286,Outdoor,M047,8,M,Thomas Jefferson Pool,Wading,4882.77444458,294.175146709
"MULTIPOLYGON (((-73.95035605599972 40.69104371862669, -73.95016705076652 40.691060968216505, -73.95015347444242 40.69094483845044, -73.95034020315154 40.69092758699999, -73.95035605599972 40.69104371862669)))",287,Outdoor,B351,36,B,Kosciuszko Pool,Wading,2229.94314575,189.967953776
"MULTIPOLYGON (((-73.83942993261637 40.874447430386844, -73.83933857561128 40.87447469882244, -73.8393132512824 40.87441181481444, -73.83940247962512 40.87438615441173, -73.83942993261637 40.874447430386844)))",288,Outdoor,X196,12,X,Haffen Pool,Wading,635.164077759,101.075265097
